"revenue_month","total_revenue_usd"
"2013-12-01 00:00:00","177253.97"
"2014-01-01 00:00:00","122885.95"
"2014-02-01 00:00:00","131403.48"
"2014-03-01 00:00:00","120550.45"
"2014-04-01 00:00:00","129531.54"
"2014-05-01 00:00:00","135189.54"
"2014-06-01 00:00:00","141307.68"
"2014-07-01 00:00:00","143000.86"
"2014-08-01 00:00:00","144575.80"
"2014-09-01 00:00:00","138001.50"
"2014-10-01 00:00:00","170563.92"
"2014-11-01 00:00:00","143850.71"
"2014-12-01 00:00:00","155942.19"
"2015-01-01 00:00:00","166530.15"
"2015-02-01 00:00:00","150906.93"
"2015-03-01 00:00:00","307684.75"
"2015-04-01 00:00:00","255152.66"
"2015-05-01 00:00:00","176809.30"
"2015-06-01 00:00:00","210487.52"
"2015-07-01 00:00:00","195108.71"
"2015-08-01 00:00:00","211743.57"
"2015-09-01 00:00:00","230293.44"
"2015-10-01 00:00:00","245570.10"
"2015-11-01 00:00:00","242340.37"
"2015-12-01 00:00:00","267005.62"
"2016-01-01 00:00:00","269629.45"
"2016-02-01 00:00:00","272858.32"
"2016-03-01 00:00:00","341932.12"
"2016-04-01 00:00:00","350372.37"
"2016-05-01 00:00:00","351828.22"
"2016-06-01 00:00:00","605684.87"
"2016-07-01 00:00:00","656067.11"
"2016-08-01 00:00:00","490104.36"
"2016-09-01 00:00:00","494251.64"
"2016-10-01 00:00:00","611389.86"
"2016-11-01 00:00:00","531740.29"
"2016-12-01 00:00:00","915979.13"
"2017-01-01 00:00:00","23424.03"
